id,seedLabel,seed,age,presentation,identityBits,appearanceBits,style,sf2Code,dataSha256
B023,sports-face/v0.2.1/baseline/B023,1648477668,37,feminine,28971203,1280,sports/default-v2,SF2~sports/default-v2~h8ybn~zk~r9glic~11~f~7e22ce~f8fafc~15c4evy,57c08bf897825ce9cda983daa00723d3f72180ae68773e89b9da237d8d263672
B024,sports-face/v0.2.1/baseline/B024,1631700049,54,neutral,344587338,1802,sports/default-v2,SF2~sports/default-v2~5p5pai~1e2~qzgztd~1i~n~be123c~0f172a~1sdrhfl,739a84733a7d95ee17ef2aa647c16bfe3fdb0bff4d8ed9cdfed1a819101cb371
B025,sports-face/v0.2.1/baseline/B025,1614922430,26,masculine,383653922,1813,sports/default-v2,SF2~sports/default-v2~6cf19e~1ed~qphe4e~q~m~0f766e~facc15~18gfh1y,b20d71c1016459cb54611a2453983353292018c2fca23d29fa8553568c7599b5
B026,sports-face/v0.2.1/baseline/B026,1598144811,43,feminine,225112649,1418,sports/default-v2,SF2~sports/default-v2~3q0y15~13e~qfhsff~17~f~be123c~0f172a~1hj2ysb,e3e7f7220631ea565cf43f4e606df3f7cb869e20f326f1db0320f231419d619c
B027,sports-face/v0.2.1/baseline/B027,1581367192,60,neutral,112561964,1160,sports/default-v2,SF2~sports/default-v2~1v0ld8~w8~q5i6qg~1o~n~f8fafc~111827~0kxqpy5,b91bd858fd3269053aa8870241b3a07a7eb69d4d9319d0b9d6ddb799898a974c
B028,sports-face/v0.2.1/baseline/B028,1564589573,32,masculine,372636389,1432,sports/default-v2,SF2~sports/default-v2~65uw2t~13s~pvil1h~w~m~f8fafc~111827~1tm6z68,b69bfa30b2653ae4e17be87550408df2d0ad61835407a3bb30e0a4865d81880d
B029,sports-face/v0.2.1/baseline/B029,1547811954,49,feminine,107323194,1947,sports/default-v2,SF2~sports/default-v2~1rwb3u~1i3~plizci~1d~f~1d4ed8~facc15~17oy0ja,8266001a5e2993b751124fb444947fcfe748bec90a86886f9d5ed96a2cca2b1c
B030,sports-face/v0.2.1/baseline/B030,1597997716,21,neutral,380144252,1161,sports/default-v2,SF2~sports/default-v2~6abt6k~w9~qfemxg~l~n~be123c~0f172a~0mh5z3n,d481007ce8381fd68b0de3f488a3c28d19ef53a21fa54f869bedd53780a64ddf
B031,sports-face/v0.2.1/baseline/B031,1614775335,38,masculine,87955568,1497,sports/default-v2,SF2~sports/default-v2~1gd6y8~15l~qpe8mf~12~m~b91c1c~f8fafc~1gugfo1,5389f9a8c317b2d6de425b7444735003a41a1406366eac239b1908c1fe5577fa
B032,sports-face/v0.2.1/baseline/B032,1631552954,55,feminine,23070469,1930,sports/default-v2,SF2~sports/default-v2~dqhad~1hm~qzdube~1j~f~b91c1c~f8fafc~020eq8f,bdb91171714b677634fb8e84bbea1b5e07e4c72b54783d13f2d3ad3fa218d1a1
B033,sports-face/v0.2.1/baseline/B033,1648330573,27,neutral,268520985,1426,sports/default-v2,SF2~sports/default-v2~4fvc49~13m~r9dg0d~r~n~0f766e~facc15~038le46,ff3055b976c5603bbdd0db90340c8743477890b5b43190d4715aad90d2ad0a4c
B034,sports-face/v0.2.1/baseline/B034,1530887240,44,masculine,35708572,672,sports/default-v2,SF2~sports/default-v2~l9cws~io~pbg85k~18~m~166534~f8fafc~0okt9d2,fe3064679605d74ecddba050d216d4a805d0fd3ce84085ccaee5a0e7dc78f306
B035,sports-face/v0.2.1/baseline/B035,1547664859,16,feminine,41031301,1543,sports/default-v2,SF2~sports/default-v2~offyd~16v~plftuj~g~f~7e22ce~f8fafc~0fdbah5,a892d710a1ddb69b3e9e90198d1d1ab7ddabe658fb876ad011202d4ec1fe65ef
B036,sports-face/v0.2.1/baseline/B036,1564442478,33,neutral,246441548,3633,sports/default-v2,SF2~sports/default-v2~42q3ik~2sx~pvffji~x~n~7e22ce~f8fafc~08b5qze,13cbf1006d830a36b508b272b6b235bf66a8b81e5fe5bb063e8a7caf894479d6
B037,sports-face/v0.2.1/baseline/B037,1581220097,50,masculine,336939024,1986,sports/default-v2,SF2~sports/default-v2~5klrtc~1j6~q5f18h~1e~m~111827~f97316~0kncr3i,f4e4a3573dad0fead0e6883538bcac8ffd23806118f31292ff4ff2ea821d7ec2
B038,sports-face/v0.2.1/baseline/B038,1463776764,22,feminine,230303273,1926,sports/default-v2,SF2~sports/default-v2~3t4755~1hi~o7htdo~m~f~166534~f8fafc~0lbikgb,75618682468922847bac42455d8eab4bc5680c478b8f1196a24381621d75e975
B039,sports-face/v0.2.1/baseline/B039,1480554383,39,neutral,168880936,1171,sports/default-v2,SF2~sports/default-v2~2sjpd4~wj~ohhf2n~13~n~f8fafc~111827~1dy4bpx,e857a558178567854c10617eeec941d5f4d5660c8e7afec11437879da8801e88
B040,sports-face/v0.2.1/baseline/B040,1497184907,56,masculine,237617866,3745,sports/default-v2,SF2~sports/default-v2~3xgz4a~2w1~ordv9n~1k~m~7e22ce~f8fafc~0t6mtqe,b61f8c747162557f7e61182e6ef241a79ec480bb90fca24a43d794e4d9d4c346
B041,sports-face/v0.2.1/baseline/B041,1480407288,28,feminine,347378921,1794,sports/default-v2,SF2~sports/default-v2~5qtjah~1du~ohe9ko~s~f~0f766e~facc15~0wmjxe2,318d3f918858b0ff8c17282b94fcfe1066cf2c77400a33adbe8d465d1128797b
B042,sports-face/v0.2.1/baseline/B042,1530740145,45,neutral,242680104,1542,sports/default-v2,SF2~sports/default-v2~40hh60~16u~pbd2nl~19~n~166534~f8fafc~0pv9v6f,42dba4d3b2c1e7901a4a1bc000e3c30fbe2fbb56152cbe3a61f6b89fcf27f8b6
B043,sports-face/v0.2.1/baseline/B043,1513962526,17,masculine,280073305,1798,sports/default-v2,SF2~sports/default-v2~4mqxy1~1dy~p1dgym~h~m~0f766e~facc15~0rmkbge,5152fe5d48d85ef491a8cedc15ab42a47753ccb2ffedd9bc9f4ed1bcc3fcc5a3
B044,sports-face/v0.2.1/baseline/B044,1564295383,34,feminine,375456931,1035,sports/default-v2,SF2~sports/default-v2~67jcf7~sr~pvca1j~y~f~0f766e~facc15~1hl08y1,02b426683b4da9661d46ff9beb3cd71d957fc4d6709d88e469ca978342ce45dd
B045,sports-face/v0.2.1/baseline/B045,1547517764,51,neutral,7504533,1430,sports/default-v2,SF2~sports/default-v2~4guj9~13q~plcock~1f~n~7e22ce~f8fafc~1elvx8h,eec1587b7bc7206825e48df5340daedabadeb945a733c1d7e4cd46c155292229
B046,sports-face/v0.2.1/baseline/B046,1597850621,23,masculine,354559176,1717,sports/default-v2,SF2~sports/default-v2~5v3fm0~1bp~qfbhfh~n~m~111827~f97316~14o31su,f85601bb286430544e2e6ca9c438a2f2890c1713dbf3e3a7b5f02a39d8f008c9
B047,sports-face/v0.2.1/baseline/B047,1581073002,40,feminine,297914221,3850,sports/default-v2,SF2~sports/default-v2~4xdc31~2yy~q5bvqi~14~f~b91c1c~f8fafc~13vf573,8199fb8000aa6aa148d4455565e53efda83bf8a31e3f2367f8c04f7d234452dc
B048,sports-face/v0.2.1/baseline/B048,1362963955,57,neutral,214476621,1408,sports/default-v2,SF2~sports/default-v2~3joz7x~134~mjh1pv~1l~n~b91c1c~f8fafc~02kn3yv,c593865bd12b0bddd6ad5e76b42ee86f14fe6bd7874024ba94f75403456a138e
B049,sports-face/v0.2.1/baseline/B049,1346186336,29,masculine,377397981,1060,sports/default-v2,SF2~sports/default-v2~68oy59~tg~m9hg0w~t~m~0f766e~facc15~1enp1yn,18ac6523cfab8baf65d3dc9a0b694c1714869e310974035341347baeadeef723
B050,sports-face/v0.2.1/baseline/B050,1396372098,46,feminine,71526948,1798,sports/default-v2,SF2~sports/default-v2~16l2jo~1dy~n3d3lu~1a~f~7e22ce~f8fafc~0e20r13,84f89fe7b67c6fddcf53c65a4ac49103aa208cec243492d10cc7457ea80e98c7
B051,sports-face/v0.2.1/baseline/B051,1413149717,18,neutral,43999379,1152,sports/default-v2,SF2~sports/default-v2~q724z~w0~ndcpat~i~n~be123c~0f172a~0qx13xx,8c0115b88abb436bc7ddfd43d887364624c0fdf3072c5484c75e3934b297f1e0
B052,sports-face/v0.2.1/baseline/B052,1362816860,35,masculine,115964528,1974,sports/default-v2,SF2~sports/default-v2~1x1isw~1iu~mjdw7w~z~m~111827~f97316~1r6r6nj,73e7282a9fafe5cdc7817edc2f82ed37c30ade4f54e98f6444b7d4c28097732e
B053,sports-face/v0.2.1/baseline/B053,1379594479,52,feminine,208369705,1802,sports/default-v2,SF2~sports/default-v2~3g233d~1e2~mtdhwv~1g~f~111827~f97316~0ri8sxe,ad9ac90ab543402c9c66ed10afaf00cb32b91a24bf3e63024744dc749d2a79cd
B054,sports-face/v0.2.1/baseline/B054,1329261622,24,neutral,154853177,1025,sports/default-v2,SF2~sports/default-v2~2k71h5~sh~lzeoty~o~n~f8fafc~111827~0c51yd5,1a7c98671b7082f140a7cd80cef7c0cd3794f295aa0bbef098ee35947226441a
B055,sports-face/v0.2.1/baseline/B055,1346039241,41,masculine,30111788,5528,sports/default-v2,SF2~sports/default-v2~hxeek~49k~m9eaix~15~m~1d4ed8~facc15~0gimpd4,35831d731ca7c7b19de87b547d18aed43f365ad57b76bb0f145dd2de5a7a2974
B056,sports-face/v0.2.1/baseline/B056,1295706384,58,feminine,343431876,1800,sports/default-v2,SF2~sports/default-v2~5ogxqc~1e0~lffhg0~1m~f~1d4ed8~facc15~0rvoji5,08201035a4fa233d8a58bb33383d222b4cae1190dfc05c12d286985a8db3fc25
B057,sports-face/v0.2.1/baseline/B057,1312484003,30,neutral,288999441,1281,sports/default-v2,SF2~sports/default-v2~4s29e9~zl~lpf34z~u~n~111827~f97316~0mgn9e6,8bbda910a402f7945a187db6b6dfc9606ff6e0f880039d5eb8cc594cab2bcca1
B058,sports-face/v0.2.1/baseline/B058,1530593050,47,masculine,243476314,1056,sports/default-v2,SF2~sports/default-v2~40yjiy~tc~pb9x5m~1b~m~111827~f97316~1avl877,8c4d148d615529366b500ebbe6b9bf101caae642f5598bc538f91e2af2014bf5
B059,sports-face/v0.2.1/baseline/B059,1547370669,19,feminine,306876576,1286,sports/default-v2,SF2~sports/default-v2~52pfhc~zq~pl9iul~j~f~166534~f8fafc~0m4tpyl,d5132420eda362c7b52b92b7361d99c2f93501f1f77fd298e18883cc1597de49
B060,sports-face/v0.2.1/baseline/B060,3442991353,36,neutral,353052200,1282,sports/default-v2,SF2~sports/default-v2~5u74tk~zm~1kxv94p~10~n~be123c~0f172a~1iprbq6,40a085b5b5822d9d7e77f6332c4a66f40849fd57dd9ece9fdd3cbb5f8d94cf7c
B061,sports-face/v0.2.1/baseline/B061,3426213734,53,masculine,81680477,944,sports/default-v2,SF2~sports/default-v2~1cmp25~q8~1knvnfq~1h~m~166534~f8fafc~17caef5,cdc61a58d5e16833bcca4a3647439dda1b3271bbe8391fedcc9c68cc344657b9
B062,sports-face/v0.2.1/baseline/B062,3409436115,25,feminine,250679445,1803,sports/default-v2,SF2~sports/default-v2~458xhx~1e3~1kdw1qr~p~f~b91c1c~f8fafc~1swaeyc,5d1f9d6dd7d3a146c828cae0a00d1d1c27c87fc324e6cbcd83afe808f11b2b90
B063,sports-face/v0.2.1/baseline/B063,3392658496,42,neutral,74512088,1667,sports/default-v2,SF2~sports/default-v2~18d1w8~1ab~1k3wg1s~16~n~be123c~0f172a~0k72adu,76a9cf41f51586ffe1d4a39e16e2c85c6bcc49bc5042cd8ecb9b63ea75e097cd
B064,sports-face/v0.2.1/baseline/B064,3510101829,59,masculine,104089753,1049,sports/default-v2,SF2~sports/default-v2~1pz061~t5~1m1tnwl~1n~m~be123c~0f172a~15v8jba,de0e2613bb5634efa822905b65f43735cc594b5b8d1a01762db5701923f351db
B065,sports-face/v0.2.1/baseline/B065,3493324210,31,feminine,313054722,1547,sports/default-v2,SF2~sports/default-v2~56duki~16z~1lru27m~v~f~111827~f97316~1b7m1aj,34c00acfc9c0db4dac3e7c01c9b2d0f4819eeed2e7f59c19176cc6ba6543aa00
B066,sports-face/v0.2.1/baseline/B066,3476546591,48,neutral,44209264,0,sports/default-v2,SF2~sports/default-v2~qbk34~0~1lhugin~1c~n~b91c1c~f8fafc~0koek3y,713737b128c58d7a1bb6326820470b11fc7d58438e4a858eeb1a0705fd632c32
B067,sports-face/v0.2.1/baseline/B067,3459768972,20,masculine,339330689,160,sports/default-v2,SF2~sports/default-v2~5m118h~4g~1l7uuto~k~m~0f766e~facc15~17cl3v3,f751c8a2f5367b735305af8180200862764bfbdba821b8947571c363e76f8cc6
B068,sports-face/v0.2.1/baseline/B068,3577212305,37,feminine,135325709,1930,sports/default-v2,SF2~sports/default-v2~28khzh~1hm~1n5s2oh~11~f~0f766e~facc15~1s8onho,7dd00a2708e6f7b1cd46aee0dd02181c6aeb4bfef2292599c3d6c17604199a0b
B069,sports-face/v0.2.1/baseline/B069,3560434686,54,neutral,22670410,1419,sports/default-v2,SF2~sports/default-v2~dhwlm~13f~1mvsgzi~1i~n~b91c1c~f8fafc~0arjvxs,fb73221e7f8851a89bd71c3055cf8983cb7e40a70708aa7996187dd697d27056
B070,sports-face/v0.2.1/baseline/B070,3342178544,26,masculine,37781538,1033,sports/default-v2,SF2~sports/default-v2~mhsf6~sp~1j9uhgw~q~m~0f766e~facc15~1gd0ozt,ba7e3b2a8b494c61cd329fc3ec957d4ee057d4d354321b7ec4cf6b10dd039d02
B071,sports-face/v0.2.1/baseline/B071,3358956163,43,feminine,174596460,3202,sports/default-v2,SF2~sports/default-v2~2vy7ho~2gy~1jju35v~17~f~7e22ce~f8fafc~0kexegp,c01592eb23e50be6927748272e8ae7cd71873a14b3c99f36decdd1408b64c358
B072,sports-face/v0.2.1/baseline/B072,3375733782,60,neutral,379088000,1794,sports/default-v2,SF2~sports/default-v2~69p668~1du~1jttouu~1o~n~111827~f97316~0f4zbf1,e6ea803c439e9a65801d5f9cab4c06a486a1baa71b8373747e5666019350d512
B073,sports-face/v0.2.1/baseline/B073,3392511401,32,masculine,295315755,1338,sports/default-v2,SF2~sports/default-v2~4vtn3f~116~1k3tajt~w~m~b91c1c~f8fafc~0fcn8vu,7e7c4f472e4a719717e7bb2799206f9c437bd36fa2f889b522b3afc021d40e0d
B074,sports-face/v0.2.1/baseline/B074,3409289020,49,feminine,149639252,1035,sports/default-v2,SF2~sports/default-v2~2h3adw~sr~1kdsw8s~1d~f~1d4ed8~facc15~0zxbt1z,c6146fe8dde0c140ca5dca0520484b4ce5ae917c967f6c6c09c3971c62d05cad
B075,sports-face/v0.2.1/baseline/B075,3426066639,21,neutral,90322066,1927,sports/default-v2,SF2~sports/default-v2~1hrwya~1hj~1knshxr~l~n~b91c1c~f8fafc~0084hw9,543ba370049866b611c8ef798de6bb3023d35286b150e5c840dae22c7d6d7df1
B076,sports-face/v0.2.1/baseline/B076,3442844258,38,masculine,38840945,1282,sports/default-v2,SF2~sports/default-v2~n4hv5~zm~1kxs3mq~12~m~7e22ce~f8fafc~0gbnegm,a8b714f4de72704635ccfaa9d3e4a9e9f45fb2d49d5ee01b57a4f8e187769529
B077,sports-face/v0.2.1/baseline/B077,3459621877,55,feminine,106058273,0,sports/default-v2,SF2~sports/default-v2~1r5735~0~1l7rpbp~1j~f~f8fafc~111827~0zopfe4,159bb810c787e6aa40d77bc9697c07f87c23970d0480badc0c2842aed60dda0f
B078,sports-face/v0.2.1/baseline/B078,3476399496,27,neutral,77083741,1025,sports/default-v2,SF2~sports/default-v2~19w671~sh~1lhrb0o~r~n~0f766e~facc15~1qmubuh,b4abda3517bf9ad9415e7d8b205e5c94c991f04d5bd7f0b9243ea2a55d7e0fdf
B079,sports-face/v0.2.1/baseline/B079,3493177115,44,masculine,84088370,1946,sports/default-v2,SF2~sports/default-v2~1e2b02~1i2~1lrqwpn~18~m~111827~f97316~1fo8ufd,14e3839ae0ba3a4d22497eceb399bc2fc3106debcff90044cc4dc21b9a20590a
B080,sports-face/v0.2.1/baseline/B080,3780809399,16,feminine,11116802,1796,sports/default-v2,SF2~sports/default-v2~6m9s2~1dw~1qizv7b~g~f~b91c1c~f8fafc~1y6lgip,a51efb4e9090154d6e712538e92d770371a95c0ffdeeb426fce9aa4663cc0f06
B081,sports-face/v0.2.1/baseline/B081,3764031780,33,neutral,156284148,3626,sports/default-v2,SF2~sports/default-v2~2l1pmc~2sq~1q909ic~x~n~b91c1c~f8fafc~0zcghr4,522d566485869ec7f72b07aa895113171dd7de9c722ad81d765dbb84db61f5ef
B082,sports-face/v0.2.1/baseline/B082,3814364637,50,masculine,173194493,1027,sports/default-v2,SF2~sports/default-v2~2v45q5~sj~1r2z2l9~1e~m~b91c1c~f8fafc~1e1h63m,1abbbe1bfd4902c493147d9b433bbd6f45ce1fd048cdf5329a2c65124fa2e2fe
B083,sports-face/v0.2.1/baseline/B083,3797587018,22,feminine,1800417,1158,sports/default-v2,SF2~sports/default-v2~12l7l~w6~1qszgwa~m~f~b91c1c~f8fafc~10mwpnr,49c640fb3fd19c70b07108ea382a3d70f21b28ffcf5c91fca2e4fc5fec170c46
B084,sports-face/v0.2.1/baseline/B084,3713698923,39,neutral,160543281,3584,sports/default-v2,SF2~sports/default-v2~2nkzzl~2rk~1pf1gff~13~n~1d4ed8~facc15~12qdy3i,8dfa57005d1d2fc99a604df42aaa9832be5e6af78f4f26d53c00a5ba805bcbb1
B085,sports-face/v0.2.1/baseline/B085,3696921304,56,masculine,379172901,3393,sports/default-v2,SF2~sports/default-v2~69qzol~2m9~1p51uqg~1k~m~f8fafc~111827~0o7q7es,2b62ece2d91ed7230397bb93b60754d895321d4c194c929d11b8f0ed13c8d6f6
B086,sports-face/v0.2.1/baseline/B086,3747254161,28,feminine,248185651,1159,sports/default-v2,SF2~sports/default-v2~43rh9v~w7~1pz0ntd~s~f~b91c1c~f8fafc~0aqkvlr,d2dfc867bd2af9f1c526a89fbb2455a531de57596aafc2bd4ad770d3b0b8a66b
B087,sports-face/v0.2.1/baseline/B087,3730476542,45,neutral,95551210,1028,sports/default-v2,SF2~sports/default-v2~1kvzsa~sk~1pp124e~19~n~be123c~0f172a~13ixv5q,c2d7ef30c6b941d78dea37bade5d847496d191278ec530faa49f4df99ec48513
B088,sports-face/v0.2.1/baseline/B088,3646588447,17,masculine,209895944,1288,sports/default-v2,SF2~sports/default-v2~3gysqw~zs~1ob31nj~h~m~1d4ed8~facc15~1uznjxl,6ea227d817c61ddbcf67160b06e0182200008bfd4c8ede5ead4434caaa12e486
B089,sports-face/v0.2.1/baseline/B089,3629810828,34,feminine,102940357,1028,sports/default-v2,SF2~sports/default-v2~1padad~sk~1o13fyk~y~f~7e22ce~f8fafc~0x2ryg8,5ae7332e3c57cef1a3d68acc0fcdd38110c6a3a319ca49ed1d1357fd4cefd3e2
B090,sports-face/v0.2.1/baseline/B090,3679996590,51,neutral,278848720,1793,sports/default-v2,SF2~sports/default-v2~4m0p1s~1dt~1ouz3ji~1f~n~166534~f8fafc~0hoqlcf,4cffb987b5b54c69ec0b8947c7d9a787f0e5a2b62a2b1008afb971a9c61bb893
B091,sports-face/v0.2.1/baseline/B091,3696774209,23,masculine,36746337,1178,sports/default-v2,SF2~sports/default-v2~lvlnl~wq~1p4yp8h~n~m~f8fafc~111827~08g2is1,cf02857990ea889e9f1cf3400faa451dcd68ba2d6c12d1f513a285b159018038
B092,sports-face/v0.2.1/baseline/B092,3646441352,40,feminine,150127444,1923,sports/default-v2,SF2~sports/default-v2~2hdr2s~1hf~1oazw5k~14~f~166534~f8fafc~1omd3ho,d80d200dc90b4ad02212599cf9723f557a050d7bccce89681cac773b8cfe53e4
B093,sports-face/v0.2.1/baseline/B093,3663218971,57,neutral,9043768,6023,sports/default-v2,SF2~sports/default-v2~5du7s~4nb~1okzhuj~1l~n~166534~f8fafc~18m7ax0,5f19b99c6039e7dfcb504165cda0bf03b6764d9266398f73fa8768a863014a7d
B094,sports-face/v0.2.1/baseline/B094,3747107066,29,masculine,317104668,1939,sports/default-v2,SF2~sports/default-v2~58snj0~1hv~1pyxibe~t~m~be123c~0f172a~0denr13,0370ed82b235245fa96cc562bbfe5a81a355df44d203bc406a7fda7c57fbe44a
B095,sports-face/v0.2.1/baseline/B095,3763884685,46,feminine,141896957,3210,sports/default-v2,SF2~sports/default-v2~2chce5~2h6~1q8x40d~1a~f~111827~f97316~039xxfo,d3feef8f2a48e1f0cb09ca48be77aec9866771f17e8cb793f64088363e129e66
B096,sports-face/v0.2.1/baseline/B096,3713551828,18,neutral,248137300,1944,sports/default-v2,SF2~sports/default-v2~43qfys~1i0~1peyaxg~i~n~111827~f97316~1k98nuo,3319fac3f29a12c63bcf4271f9bdca55f58705d76dde19a4f798b668971300df
B097,sports-face/v0.2.1/baseline/B097,3730329447,35,masculine,303926344,1931,sports/default-v2,SF2~sports/default-v2~50y72g~1hn~1poxwmf~z~m~b91c1c~f8fafc~02ntxmf,81107f2c98bbafff96a6206a5872285fc263921e8ed1c14e09cbf679a3007bc4
B098,sports-face/v0.2.1/baseline/B098,3545775638,52,feminine,208879229,3722,sports/default-v2,SF2~sports/default-v2~3gd08t~2ve~1mn29zq~1g~f~166534~f8fafc~1gsuzi0,d2f29899c76540ac5568af43871a9f07538a82d9a21401d21196abc827a81325
B099,sports-face/v0.2.1/baseline/B099,3562553257,24,neutral,337336421,1816,sports/default-v2,SF2~sports/default-v2~5kuag5~1eg~1mx1vop~o~n~f8fafc~111827~1fdywwq,ac2146441a2866c8d47b473f524f4a191e5ed22d00a990a4c4cb242e1fcc2200
